date,hour,home_team,away_team,score,home_goals,away_goals,datetime,odds_1,result,over_under_25,odds_over_under_25,goal_no_goal,odds_goal_no_goal
14-05-2025,22:00:00,Colombia,Nigeria,0-2,0,2,2025-05-14 22:00:00,201,2,"Under 2,5 Goal",129,NG,139
14-05-2025,21:55:00,Serbia,Spagna,1-0,1,0,2025-05-14 21:55:00,267,1,"Under 2,5 Goal",130,NG,139
14-05-2025,21:50:00,Olanda,Turchia,2-0,2,0,2025-05-14 21:50:00,208,1,"Under 2,5 Goal",130,NG,139
14-05-2025,21:45:00,Germania,Svizzera,1-2,1,2,2025-05-14 21:45:00,248,2,"Over 2,5 Goal",251,GG,225
14-05-2025,21:40:00,Francia,Serbia,1-2,1,2,2025-05-14 21:40:00,247,2,"Over 2,5 Goal",251,GG,225
14-05-2025,21:35:00,Belgio,Italia,1-0,1,0,2025-05-14 21:35:00,276,1,"Under 2,5 Goal",129,NG,139
14-05-2025,21:30:00,Colombia,Francia,2-2,2,2,2025-05-14 21:30:00,302,X,"Over 2,5 Goal",242,GG,217
14-05-2025,21:25:00,Danimarca,Portogallo,2-1,2,1,2025-05-14 21:25:00,233,1,"Over 2,5 Goal",247,GG,222
14-05-2025,21:20:00,Brasile,Germania,0-2,0,2,2025-05-14 21:20:00,228,2,"Under 2,5 Goal",130,NG,138
14-05-2025,21:15:00,Argentina,Croazia,2-1,2,1,2025-05-14 21:15:00,231,1,"Over 2,5 Goal",246,GG,222
14-05-2025,21:10:00,Nigeria,Turchia,2-0,2,0,2025-05-14 21:10:00,250,1,"Under 2,5 Goal",128,NG,137
14-05-2025,21:05:00,Croazia,Francia,1-0,1,0,2025-05-14 21:05:00,224,1,"Under 2,5 Goal",130,NG,138
14-05-2025,21:00:00,Colombia,Danimarca,1-1,1,1,2025-05-14 21:00:00,302,X,"Under 2,5 Goal",131,GG,217
14-05-2025,20:55:00,Nigeria,Spagna,1-3,1,3,2025-05-14 20:55:00,197,2,"Over 2,5 Goal",248,GG,219
14-05-2025,20:50:00,Brasile,Olanda,1-0,1,0,2025-05-14 20:50:00,233,1,"Under 2,5 Goal",130,NG,138
14-05-2025,20:45:00,Argentina,Inghilterra,1-0,1,0,2025-05-14 20:45:00,236,1,"Under 2,5 Goal",130,NG,138
14-05-2025,20:40:00,Nigeria,Portogallo,0-1,0,1,2025-05-14 20:40:00,201,2,"Under 2,5 Goal",129,NG,139
14-05-2025,20:35:00,Inghilterra,Svizzera,2-0,2,0,2025-05-14 20:35:00,219,1,"Under 2,5 Goal",129,NG,136
14-05-2025,20:30:00,Germania,Turchia,1-1,1,1,2025-05-14 20:30:00,311,X,"Under 2,5 Goal",130,GG,220
14-05-2025,20:25:00,Argentina,Francia,2-1,2,1,2025-05-14 20:25:00,225,1,"Over 2,5 Goal",247,GG,222
14-05-2025,20:20:00,Croazia,Germania,1-1,1,1,2025-05-14 20:20:00,324,X,"Under 2,5 Goal",130,GG,222
14-05-2025,20:15:00,Colombia,Inghilterra,1-1,1,1,2025-05-14 20:15:00,302,X,"Under 2,5 Goal",131,GG,217
14-05-2025,20:10:00,Belgio,Brasile,1-0,1,0,2025-05-14 20:10:00,281,1,"Under 2,5 Goal",129,NG,139
14-05-2025,20:05:00,Argentina,Cile,0-0,0,0,2025-05-14 20:05:00,326,X,"Under 2,5 Goal",130,NG,138
14-05-2025,20:00:00,Portogallo,Turchia,2-0,2,0,2025-05-14 20:00:00,212,1,"Under 2,5 Goal",128,NG,137
14-05-2025,19:55:00,Nigeria,Serbia,0-1,0,1,2025-05-14 19:55:00,216,2,"Under 2,5 Goal",128,NG,137
14-05-2025,19:50:00,Inghilterra,Spagna,0-0,0,0,2025-05-14 19:50:00,326,X,"Under 2,5 Goal",130,NG,138
14-05-2025,19:45:00,Germania,Olanda,0-1,0,1,2025-05-14 19:45:00,229,2,"Under 2,5 Goal",130,NG,138
14-05-2025,19:40:00,Francia,Portogallo,1-3,1,3,2025-05-14 19:40:00,223,2,"Over 2,5 Goal",247,GG,221
14-05-2025,19:35:00,Danimarca,Inghilterra,1-0,1,0,2025-05-14 19:35:00,237,1,"Under 2,5 Goal",130,NG,138
14-05-2025,19:30:00,Danimarca,Italia,0-1,0,1,2025-05-14 19:30:00,228,2,"Under 2,5 Goal",130,NG,138
14-05-2025,19:25:00,Argentina,Messico,0-1,0,1,2025-05-14 19:25:00,243,2,"Under 2,5 Goal",129,NG,136
14-05-2025,19:20:00,Cile,Italia,1-1,1,1,2025-05-14 19:20:00,325,X,"Under 2,5 Goal",130,GG,222
14-05-2025,19:15:00,Brasile,Svizzera,1-1,1,1,2025-05-14 19:15:00,319,X,"Under 2,5 Goal",129,GG,225
14-05-2025,19:10:00,Francia,Uruguay,0-1,0,1,2025-05-14 19:10:00,221,2,"Under 2,5 Goal",129,NG,136
14-05-2025,19:05:00,Germania,Portogallo,0-0,0,0,2025-05-14 19:05:00,325,X,"Under 2,5 Goal",130,NG,138
14-05-2025,19:00:00,Inghilterra,Turchia,2-1,2,1,2025-05-14 19:00:00,210,1,"Over 2,5 Goal",247,GG,220
14-05-2025,18:55:00,Spagna,Svizzera,1-2,1,2,2025-05-14 18:55:00,251,2,"Over 2,5 Goal",251,GG,225
14-05-2025,18:50:00,Croazia,Nigeria,0-2,0,2,2025-05-14 18:50:00,282,2,"Under 2,5 Goal",129,NG,139
14-05-2025,18:45:00,Colombia,Olanda,1-1,1,1,2025-05-14 18:45:00,302,X,"Under 2,5 Goal",131,GG,217
14-05-2025,18:40:00,Italia,Serbia,1-1,1,1,2025-05-14 18:40:00,315,X,"Under 2,5 Goal",128,GG,225
14-05-2025,18:35:00,Inghilterra,Serbia,1-2,1,2,2025-05-14 18:35:00,262,2,"Over 2,5 Goal",247,GG,220
14-05-2025,18:30:00,Messico,Svizzera,0-1,0,1,2025-05-14 18:30:00,227,2,"Under 2,5 Goal",130,NG,138
14-05-2025,18:25:00,Italia,Nigeria,0-0,0,0,2025-05-14 18:25:00,307,X,"Under 2,5 Goal",129,NG,139
14-05-2025,18:20:00,Messico,Olanda,3-0,3,0,2025-05-14 18:20:00,253,1,"Over 2,5 Goal",251,NG,137
14-05-2025,18:15:00,Italia,Svizzera,1-0,1,0,2025-05-14 18:15:00,222,1,"Under 2,5 Goal",130,NG,138
14-05-2025,18:10:00,Inghilterra,Olanda,0-2,0,2,2025-05-14 18:10:00,228,2,"Under 2,5 Goal",130,NG,138
14-05-2025,18:05:00,Francia,Turchia,1-0,1,0,2025-05-14 18:05:00,218,1,"Under 2,5 Goal",129,NG,137
14-05-2025,18:00:00,Belgio,Spagna,1-1,1,1,2025-05-14 18:00:00,306,X,"Under 2,5 Goal",129,GG,219
14-05-2025,17:55:00,Brasile,Italia,1-1,1,1,2025-05-14 17:55:00,326,X,"Under 2,5 Goal",130,GG,222
